"RET-JOEANNS*-100","Joe-Ann's Jelly - Raspberry","","7.00","0.075",
"RET-YUBAHARV-336","Kerrygold Dubliner","","5.50","0",
"RET-NICOLELO-101","Kids Toothbrush","","8.00","0.075",
"KIT-YUBAHARV-329","Lasagna","","10.00","0",
"RET-LAVINIAA-116","Lavinia Scent Set","","15.00","0",
"RET-LINDAWOO-100","Linda Woodhams","","0.00","0.075",
"RET-DJWOODCR-100","Madagascar Ebony Wine Stopper","","27.50","0.075",
"RET-DJWOODCR-101","Marblewood #1 Wine Bottle Stopper","","25.00","0.075",
"RET-DJWOODCR-102","Marblewood #2 Wine Stopper","","22.50","0.075",
"RET-DJWOODCR-103","Marblewood Corkscrew and Stopper","","25.00","0.075",
"RET-MARINFRE-100","Marin French - Petit Truffle","","5.50","0",
"RET-MARINFRE-102","Marin French Triple Cream Brie","","8.50","0",
"RET-MAXSBO**-103","Max Books","","0.00","0",
"RET-SUTTERBU-122","Mustard Amber Beer ","","7.50","0",
"RET-SUTTERBU-117","Mustard Cabernet Garlic ","","7.50","0",
"RET-SUTTERBU-123","Mustard Chardonnay","","7.50","0",
"RET-NATURALF-100","Natural Fibers Workshop","","0.00","0.075",
"BEE-NEWCASTL-100","Newcastle Brown Ale","","4.00","0.075",
"RET-NEXTGENE-101","Next Generation Brown Rice 2 lb","","6.00","0",
"RET-NEXTGENE-100","Next Generation White Rice 2 lb","","6.00","0",
"RET-NICOLELO-103","Nicole's Pillows","","0.00","0",
"RET-MAXSBO**-102","O, But a Little Wine","","12.00","0.075",
"BEE-OLIVELLA-102","Oliva Abbey Tripel","","6.00","0.075",
"RET-OLIVELLA-104","Olivella - Bottle Spout","","5.00","0.075",
"RET-OLIVELLA-101","Olivella - Moisturizer","","21.00","0.075",
"RET-OLIVELLA-103","Olivella - Shower Gel","","12.00","0.075",
"RET-SUTTERBU-118","Olives Garlic Stuffed Green","","7.00","0",
"RET-SUTTERBU-116","Olives Herbed Medley","","7.00","0",
"RET-MAXSBO**-101","One Minute Reader","","12.00","0.075",
"RET-PRODUCEE-101","Organic Cow Yogurt ","","4.50","0",
"RET-PRODUCEE-100","Organic Milk 1 quart","","3.00","0",
"RET-NYBAKERY-108","Original","","5.75","0",
"RET-ORLANDO*-101","Orland - Feta","","6.00","0",
"RET-ORLANDO*-100","Orland Fromage Blanc","","5.00","0",
"RET-ORLANDO*-102","Orland Ricottage","","5.00","0",
"RET-SUTTERBU-127","Pickles Sweet and Hot","","7.00","0",
"RET-POINTREY-100","Point Reyes - Blue","","7.00","0",
"RET-POMSAW**-108","Pom Jam Gift Set","","15.00","0.075",
"RET-POMSAW**-107","Poms Away Cabernet Jelly","","6.25","0",
"RET-POMSAW**-106","Poms Away Flaming Hot Jelly","","6.25","0",
"RET-POMSAW**-103","Poms Away Mild Pepper Jelly","","6.25","0",
"RET-POMSAW**-105","Poms Away Natural Pom Syrup","","6.50","0",
"RET-POMSAW**-102","Poms Away Pom Jelly","","6.25","0",
"RET-POMSAW**-104","Poms Away Pom Molassas","","8.00","0",
"RET-SIERRANE-106","Pound Of Butter","","6.25","0.075",
"RET-REDWOODH-102","Redwood Hill - Camellia","","8.50","0",
"RET-REDWOODH-100","Redwood Hill - Crottin","","6.00","0",
"RET-REDWOODH-103","Redwood Hill - Goat Cheddar 5 Oz","","6.25","0",
"RET-REDWOODH-101","Redwood Hill - Goat Cheddar 6 Oz","","7.50","0",
"RET-RENEBREA-100","Rene Bread","","8.00","0",
"RET-RENRIBBO-100","Renn Ribbons","","0.00","0.075",
"RET-RICHARDS-100","Richards Grassfeed Beef","","0.00","0",
"RET-RIVERBRO-109","RiverBrooke - 3 pc Sachet Set","","6.00","0.075",
"RET-RIVERBRO-122","RiverBrooke - Jelly 4oz","","3.00","0",
"RET-RIVERBRO-105","RiverBrooke - Sugar Body Scrub","","5.00","0.075",
"RET-RIVERBRO-119","RiverBrooke Bulk Lavender ","","2.99","0.075",
"RET-RIVERBRO-120","RiverBrooke Candied Pecans","","4.00","0",
"RET-RIVERBRO-108","RiverBrooke Farm - Eye Pillow","","6.00","0.075",
"RET-RIVERBRO-116","RiverBrooke Farm - Lavender Buds","","3.00","0",
"RET-RIVERBRO-107","RiverBrooke Farm - Mini Sachet","","2.00","0.075",
"RET-RIVERBRO-118","RiverBrooke Lavender Jelly 8 Oz","","6.00","0",
"RET-RIVERBRO-112","RiverBrooke Lavender Spice Rub","","5.00","0",
"RET-RIVERBRO-110","RiverBrooke Lemonade Kit","","2.99","0",
"RET-RIVERBRO-121","RiverBrooke Tea Cookies","","4.00","0",
"RET-RIVERSED-100","Rivers Edge Up In Smoke","","9.00","0.075",
"KIT-YUBAHARV-331","Salami Panini","","8.00","0",
"RET-SHELBURN-100","Shelburne Farms - Cheddar 8oz","","8.00","0",
"RET-SHELBURN-101","Shelburne Farms 2years 16oz","","15.50","0",
"RET-SHIRERAN-100","Shire Ranch Woodwoorks","","0.00","0.075",
"RET-SIERRACO-100","Sierra Gold Soap","","0.00","0.075",
"BEE-SIERRANE-104","Sierra Nevada Pale Ale","","4.00","0.075",
"BEE-SIERRANE-105","Sierra Nevada Torpedo","","4.00","0.075",
"","Sierra gold soap","","0.00","0",
"RET-SMITHSCO-100","Smiths Country Crafts","","0.00","0.075",
"BEE-STELLA**-103","Stella","","4.00","0.075",
"RET-STEPHANI-100","Stephanie","","0.00","0.075",
"RET-SUSANADA-100","Susan Adams","","0.00","0.075",
"RET-SUTTERBU-124","Tapenade Cali Green Olive","","7.50","0",
"RET-SUTTERBU-120","Tapenade Farmhouse","","7.50","0",
"RET-SUTTERBU-126","Tapenade Kalamata & Caper","","7.50","0",
"RET-SUTTERBU-125","Tapenade Tomato Olive","","7.50","0",
"RET-DJWOODCR-110","Walnut Corkscrew","","27.50","0.075",
"BEE-WIDMERHE-100","Widmer Hefe","","4.00","0.075",
"RET-MOUNTAIN-101","X-hats MOUNTAIN MEDICINE KNITS","","50.00","0",
"RET-YUZIYPAS-100","Yuri's   Yuri's Bowlsc, green outside, light green inside","","30.00","0.075",
"RET-YUZIYPAS-107","Yuri's  Pottery - Black & Brown Pitcher","","55.00","0.075",
"RET-YUZIYPAS-108","Yuri's  Pottery - Bowls","","24.00","0.075",
"RET-YUZIYPAS-102","Yuri's  Pottery - Brown Vase with Legs","","65.00","0.075",
"RET-YUZIYPAS-106","Yuri's  Pottery - Tall Black Pitcher","","65.00","0.075",
"RET-YUZIYPAS-101","Yuri's Pottery - Water Pitcher with 3 Handles","","125.00","0.075",
"RET-CHEFSPLA-103","cruet large","","0.00","0.075",
"RET-CHEFSPLA-104","cruet medium","","0.00","0.075",
"RET-CHEFSPLA-105","cruet small","","0.00","0.075",
"KIT-YUBAHARV-319","Farm To Fork","Kitchen ","40.00","0.075",
"KIT-YUBAHARV-120","Food","Kitchen ","0.00","0.075",
"RET-YUBAHARV-294","Pastry","R-Baked Goods","0.00","0",
"BEE-YUBAHARV-325","Beer","R-Beverages & Beer","0.00","0.075",
"RET-YUBAHARV-327","Beverage","R-Beverages & Beer","0.00","0",
"YHV-YUBAHARV-287","Bottled Water","R-Beverages & Beer","1.00","0",
"YHV-YUBAHARV-272","Coffee - 12 oz.","R-Beverages & Beer","1.75","0",
"YHV-YUBAHARV-273","Coffee - 8 oz.","R-Beverages & Beer","1.25","0",
"YHV-YUBAHARV-276","Coffee Refill","R-Beverages & Beer","1.00","0",
"YHV-YUBAHARV-284","Hot - Cold Tea","R-Beverages & Beer","1.50","0",
"RET-LIMONATA-101","Most Beverages","R-Beverages & Beer","2.00","0",
"YHV-YUBAHARV-166","V8 Small","R-Beverages & Beer","1.25","0",
"RET-YUBAHARV-324","Dairy","R-Dairy","0.00","0",
